	a	brief
houseboats	or	in
or	in	houses
in	houses	on
houses	on	stilts
on	stilts	in
stilts	in	the
in	the	main
the	main	creek
main	creek	a
creek	a	trappist
a	trappist	monastery
trappist	monastery	situated
monastery	situated	on
situated	on	a
on	a	hillside
a	hillside	overlooking
hillside	overlooking	the
overlooking	the	east
the	east	coast
east	coast	of
coast	of	lantau
of	lantau	is
lantau	is	also
is	also	open
also	open	to
open	to	visitors
to	visitors	to
visitors	to	get
to	get	here
get	here	follow
here	follow	the
follow	the	path
the	path	from
path	from	the
from	the	southwest
the	southwest	end
southwest	end	of
end	of	discovery
of	discovery	bay
discovery	bay	the
bay	the	walk
the	walk	takes
walk	takes	about
takes	about	30
about	30	minutes
30	minutes	cheung
minutes	cheung	chau
cheung	chau	some
chau	some	10
some	10	km
10	km	6
km	6	miles
6	miles	west
miles	west	of
west	of	hong
of	hong	kong
hong	kong	lies
kong	lies	this
lies	this	small
this	small	crowded
small	crowded	island
crowded	island	only
island	only	one
only	one	square
one	square	mile
square	mile	in
mile	in	size
in	size	more
size	more	than
more	than	25
than	25	000
25	000	people
000	people	live
people	live	here
live	here	mostly
here	mostly	by
mostly	by	fishing
by	fishing	but
fishing	but	there
but	there	are
there	are	also
are	also	ex
also	ex	pats
ex	pats	attracted
pats	attracted	by
attracted	by	its
by	its	laid
its	laid	back
laid	back	mediterranean
back	mediterranean	ambience
mediterranean	ambience	the
ambience	the	island
the	island	has
island	has	a
has	a	checkered
a	checkered	past
checkered	past	of
past	of	smuggling
of	smuggling	and
smuggling	and	pira
and	pira	cy
pira	cy	that
cy	that	era
that	era	is
era	is	gone
is	gone	now
gone	now	but
now	but	other
but	other	elements
other	elements	of
elements	of	the
of	the	island
the	island	s
island	s	old
s	old	life
old	life	are
life	are	preserved
are	preserved	the
preserved	the	people
the	people	still
people	still	carve
still	carve	jade
carve	jade	and
jade	and	build
and	build	seaworthy
build	seaworthy	junks
seaworthy	junks	all
junks	all	by
all	by	hand
by	hand	fish
hand	fish	heads
fish	heads	discreetly
heads	discreetly	wrapped
discreetly	wrapped	in
wrapped	in	paper
in	paper	are
paper	are	still
are	still	hung
still	hung	out
hung	out	to
out	to	dry
to	dry	in
dry	in	the
in	the	sun
the	sun	cheung
sun	cheung	chau
cheung	chau	becomes
chau	becomes	the
becomes	the	center
the	center	of
center	of	hong
of	hong	kong
hong	kong	life
kong	life	once
life	once	a
once	a	year
a	year	usually
year	usually	in
usually	in	may
in	may	during
may	during	the
during	the	bun
the	bun	festival
bun	festival	a
festival	a	folklore
a	folklore	extravaganza
folklore	extravaganza	see
extravaganza	see	page
see	page	89
page	89	the
89	the	rest
the	rest	of
rest	of	the
of	the	year
the	year	life
year	life	goes
life	goes	on
goes	on	at
on	at	its
at	its	accustomed
its	accustomed	pace
accustomed	pace	rickety
pace	rickety	machines
rickety	machines	chugging
machines	chugging	in
chugging	in	two
in	two	man
two	man	factories
man	factories	children
factories	children	in
children	in	school
in	school	uniforms
school	uniforms	being
uniforms	being	ferried
being	ferried	home
ferried	home	to
home	to	houseboats
to	houseboats	and
houseboats	and	the
and	the	old
the	old	fishermen
old	fishermen	stirring
fishermen	stirring	shrimp
stirring	shrimp	paste
shrimp	paste	by
paste	by	way
by	way	of
way	of	formal
of	formal	tourist
formal	tourist	attractions
tourist	attractions	pak
attractions	pak	tai
pak	tai	temple
tai	temple	built
temple	built	in
built	in	1783
in	1783	has
1783	has	some
has	some	fine
some	fine	carvings
fine	carvings	and
carvings	and	a
and	a	great
a	great	iron
great	iron	sword
iron	sword	said
sword	said	to
said	to	be
to	be	600
be	600	years
600	years	old
years	old	but
old	but	the
but	the	most
the	most	interesting
most	interesting	thing
interesting	thing	to
thing	to	do
to	do	here
do	here	is
here	is	to
is	to	explore
to	explore	the
explore	the	two
the	two	villages
two	villages	on
villages	on	the
on	the	island
the	island	cheung
island	cheung	chau
cheung	chau	and
chau	and	san
and	san	wai
san	wai	they
wai	they	are
they	are	an
are	an	easy
an	easy	walk
easy	walk	apart
walk	apart	by
apart	by	the
by	the	harbor
the	harbor	road
harbor	road	or
road	or	a
or	a	longer
a	longer	45
longer	45	minute
45	minute	hike
minute	hike	on
hike	on	the
on	the	scenic
the	scenic	peak
scenic	peak	road
peak	road	the
road	the	praya
the	praya	the
praya	the	promenade
the	promenade	in
promenade	in	front
in	front	of
front	of	the
of	the	ferry
the	ferry	pier
ferry	pier	is
pier	is	a
is	a	good
a	good	place
good	place	to
place	to	observe
to	observe	the
observe	the	many
the	many	junks
many	junks	and
junks	and	fishing
and	fishing	boats
fishing	boats	in
boats	in	the
in	the	harbor
the	harbor	there
harbor	there	are
there	are	also
are	also	several
also	several	open
several	open	air
open	air	restaurants
air	restaurants	where
restaurants	where	you
where	you	can
you	can	enjoy
can	enjoy	fresh
enjoy	fresh	seafood
fresh	seafood	lamma
seafood	lamma	island
lamma	island	only
island	only	35
only	35	minutes
35	minutes	by
minutes	by	ferry
by	ferry	from
ferry	from	central
from	central	lamma
central	lamma	island
lamma	island	is
island	is	perfect
is	perfect	for
perfect	for	swimming
for	swimming	hiking
swimming	hiking	picnicking
hiking	picnicking	birdwatching
picnicking	birdwatching	or
birdwatching	or	just
or	just	sitting
just	sitting	back
sitting	back	to
back	to	watch
to	watch	the
watch	the	bananas
the	bananas	grow
bananas	grow	hong
grow	hong	kong
hong	kong	s
kong	s	third
s	third	largest
third	largest	island
largest	island	has
island	has	a
has	a	population
a	population	of
population	of	only
of	only	about
only	about	12
about	12	000
12	000	it
000	it	is
it	is	still
is	still	largely
still	largely	undeveloped
largely	undeveloped	and
undeveloped	and	life
and	life	on
life	on	lamma
on	lamma	if
lamma	if	not
if	not	totally
not	totally	primitive
totally	primitive	is
primitive	is	close
is	close	to
close	to	the
to	the	essentials
the	essentials	archaeologists
essentials	archaeologists	indicate
archaeologists	indicate	that
indicate	that	lamma
that	lamma	has
lamma	has	probably
has	probably	been
probably	been	inhabited
been	inhabited	for
inhabited	for	some
for	some	4
some	4	000
4	000	years
000	years	and
years	and	the
and	the	island
the	island	is
island	is	known
is	known	as
known	as	hong
as	hong	kong
hong	kong	s
kong	s	stone
s	stone	age
stone	age	island
age	island	the
island	the	principal
the	principal	settlements
principal	settlements	are
settlements	are	yung
are	yung	shue
yung	shue	wan
shue	wan	on
wan	on	lamma
on	lamma	s
lamma	s	northwest
s	northwest	and
northwest	and	sok
and	sok	kwu
sok	kwu	wan
kwu	wan	on
wan	on	the
on	the	east
the	east	coast
east	coast	both
coast	both	villages
both	villages	offer
villages	offer	good
offer	good	waterfront
good	waterfront	restaurants
waterfront	restaurants	with
restaurants	with	homestyle
with	homestyle	chinese
homestyle	chinese	food
chinese	food	principally
food	principally	seafood
principally	seafood	fresh
seafood	fresh	from
fresh	from	the
from	the	tank
the	tank	the
tank	the	ports
the	ports	are
ports	are	within
are	within	hiking
within	hiking	distance
hiking	distance	of
distance	of	several
of	several	beautiful
several	beautiful	beaches
beautiful	beaches	and
beaches	and	within
and	within	a
within	a	one
a	one	hour
one	hour	hike
hour	hike	of
hike	of	each
of	each	other
each	other	on
other	on	a
on	a	marked
a	marked	trail
marked	trail	you
trail	you	can
you	can	build
can	build	an
build	an	appetite
an	appetite	for
appetite	for	dinner
for	dinner	by
dinner	by	making
by	making	your
making	your	way
your	way	from
way	from	the
from	the	beach
the	beach	to
beach	to	the
to	the	restaurant
the	restaurant	yung
restaurant	yung	shue
yung	shue	wan
shue	wan	is
wan	is	still
is	still	a
still	a	very
a	very	british
very	british	residential
british	residential	enclave
residential	enclave	with
enclave	with	many
with	many	nice
many	nice	pubs
nice	pubs	an
pubs	an	excursion
an	excursion	to
excursion	to	macau
to	macau	macau
macau	macau	the
macau	the	final
the	final	bastion
final	bastion	of
bastion	of	portugal
of	portugal	s
portugal	s	great
s	great	16th
great	16th	century
16th	century	empire
century	empire	is
empire	is	much
is	much	more
much	more	than
more	than	just
than	just	a
just	a	quirk
a	quirk	of
quirk	of	history
of	history	here
history	here	where
here	where	east
where	east	and
east	and	west
and	west	first
west	first	met
first	met	life
met	life	combines
life	combines	the
combines	the	spirit
the	spirit	of
spirit	of	asia
of	asia	with
asia	with	something
with	something	of
something	of	the
of	the	sunny
the	sunny	atmosphere
sunny	atmosphere	of
atmosphere	of	the
of	the	mediterranean
the	mediterranean	macau
mediterranean	macau	s
macau	s	historic
s	historic	center
historic	center	with
center	with	its
with	its	colonial
its	colonial	architecture
colonial	architecture	has
architecture	has	a
has	a	distinctly
a	distinctly	medit
distinctly	medit	er
medit	er	ranean
er	ranean	flavor
ranean	flavor	col
flavor	col	o
col	o	n
o	n	na
n	na	ded
na	ded	public
ded	public	buildings
public	buildings	iron
buildings	iron	balconies
iron	balconies	winding
balconies	winding	streets
winding	streets	flagstoned
streets	flagstoned	squares
flagstoned	squares	and
squares	and	the
and	the	many
the	many	churches
many	churches	all
churches	all	speak
all	speak	of
speak	of	the
of	the	portuguese
the	portuguese	inheritance
portuguese	inheritance	as
inheritance	as	well
as	well	as
well	as	the
as	the	chinese
the	chinese	a
chinese	a	fusion
a	fusion	of
fusion	of	east
of	east	and
east	and	west
and	west	that
west	that	has
that	has	produced
has	produced	the
produced	the	unique
the	unique	macanese
unique	macanese	culture
macanese	culture	the
culture	the	story
the	story	of
story	of	the
of	the	western
the	western	discovery
western	discovery	of
discovery	of	macau
of	macau	begins
macau	begins	in
begins	in	1513
in	1513	when
1513	when	portuguese
when	portuguese	explorer
portuguese	explorer	jorge
explorer	jorge	alvares
jorge	alvares	reached
alvares	reached	the
reached	the	south
the	south	coast
south	coast	of
coast	of	china
of	china	traders
china	traders	followed
traders	followed	in
followed	in	his
in	his	wake
his	wake	setting
wake	setting	up
setting	up	bases
up	bases	in
bases	in	several
in	several	parts
several	parts	of
parts	of	the
of	the	pearl
the	pearl	river
pearl	river	estuary
river	estuary	finally
estuary	finally	in
finally	in	1557
in	1557	they
1557	they	were
they	were	all
were	all	consolidated
all	consolidated	in
consolidated	in	macau
in	macau	it
macau	it	was
it	was	the
was	the	only
the	only	european
only	european	gateway
european	gateway	to
gateway	to	china
to	china	and
china	and	through
and	through	macau
through	macau	flowed
macau	flowed	western
flowed	western	technology
western	technology	and
technology	and	religion
and	religion	in
religion	in	1576
in	1576	pope
1576	pope	gregory
pope	gregory	xiii
gregory	xiii	created
xiii	created	the
created	the	macau
the	macau	diocese
macau	diocese	covering
diocese	covering	all
covering	all	of
all	of	china
of	china	and
china	and	japan
and	japan	no
japan	no	less
no	less	impressive
less	impressive	were
impressive	were	the
were	the	secular
the	secular	challenges
secular	challenges	china
challenges	china	and
china	and	japan
and	japan	were
japan	were	not
were	not	on
not	on	speaking
on	speaking	terms
speaking	terms	so
terms	so	trade
so	trade	between
trade	between	them
between	them	had
them	had	to
had	to	be
to	be	channeled
be	channeled	through
channeled	through	a
through	a	neutral
a	neutral	middleman
neutral	middleman	lucky
middleman	lucky	macau
lucky	macau	fit
macau	fit	the
fit	the	specifications
the	specifications	exactly
specifications	exactly	portugal
exactly	portugal	s
portugal	s	resulting
s	resulting	near
resulting	near	monopoly
near	monopoly	of
monopoly	of	east
of	east	west
east	west	trade
west	trade	understandably
trade	understandably	awakened
understandably	awakened	the
awakened	the	competitive
the	competitive	instincts
competitive	instincts	of
instincts	of	other
of	other	european
other	european	powers
european	powers	the
powers	the	dutch
the	dutch	sent
dutch	sent	an
sent	an	invasion
an	invasion	flotilla
invasion	flotilla	to
flotilla	to	macau
to	macau	in
macau	in	1622
in	1622	but
1622	but	the
but	the	defenders
the	defenders	triumphed
defenders	triumphed	however
triumphed	however	the
however	the	end
the	end	of
end	of	the
of	the	golden
the	golden	age
golden	age	was
age	was	drawing
was	drawing	near
drawing	near	china
near	china	began
china	began	to
began	to	relax
to	relax	trade
relax	trade	restrictions
trade	restrictions	and
restrictions	and	with
and	with	the
with	the	rise
the	rise	of
rise	of	hong
of	hong	kong
hong	kong	macau
kong	macau	became
macau	became	an
became	an	isolated
an	isolated	portuguese
isolated	portuguese	outpost
portuguese	outpost	a
outpost	a	haven
a	haven	for
haven	for	persecuted
for	persecuted	japanese
persecuted	japanese	christians
japanese	christians	in
christians	in	the
in	the	17th
the	17th	century
17th	century	portugal
century	portugal	s
portugal	s	neutrality
s	neutrality	during
neutrality	during	world
during	world	war
world	war	ii
war	ii	assured
ii	assured	the
assured	the	territory
the	territory	a
territory	a	flood
a	flood	of
flood	of	refugees
of	refugees	they
refugees	they	were
they	were	joined
were	joined	by
joined	by	a
by	a	swarm
a	swarm	of
swarm	of	spies
of	spies	of
spies	of	all
of	all	conceivable
all	conceivable	nationalities
conceivable	nationalities	and
nationalities	and	macau
and	macau	won
macau	won	a
won	a	name
a	name	for
name	for	international
for	international	intrigue
international	intrigue	portugal
intrigue	portugal	s
portugal	s	very
s	very	precarious
very	precarious	foothold
precarious	foothold	on
foothold	on	the
on	the	asian
the	asian	coast
asian	coast	ended
coast	ended	in
ended	in	1999
in	1999	with
1999	with	a
with	a	formal
a	formal	handover
formal	handover	to
handover	to	china
to	china	macau
china	macau	now
macau	now	the
now	the	chinese
the	chinese	special
chinese	special	economic
special	economic	zone
economic	zone	of
zone	of	zhuhai
of	zhuhai	is
zhuhai	is	becoming
is	becoming	something
becoming	something	like
something	like	a
like	a	boomtown
a	boomtown	as
boomtown	as	an
as	an	exporter
an	exporter	of
exporter	of	toys
of	toys	furniture
toys	furniture	and
furniture	and	electronics
and	electronics	new
electronics	new	construction
new	construction	in
construction	in	the
in	the	past
the	past	10
past	10	years
10	years	has
years	has	changed
has	changed	the
changed	the	city
the	city	s
city	s	skyline
s	skyline	with
skyline	with	new
with	new	glittering
new	glittering	hotels
glittering	hotels	and
hotels	and	highrise
and	highrise	apartment
highrise	apartment	blocks
apartment	blocks	the
blocks	the	city
the	city	is
city	is	beginning
is	beginning	to
beginning	to	look
to	look	a
look	a	little
a	little	more
little	more	like
more	like	hong
like	hong	kong
hong	kong	macau
kong	macau	s
macau	s	population
s	population	is
population	is	estimated
is	estimated	at
estimated	at	around
at	around	450
around	450	000
450	000	an
000	an	appallingly
an	appallingly	high
appallingly	high	figure
high	figure	for
figure	for	such
for	such	a
such	a	small
a	small	area
small	area	recent
area	recent	land
recent	land	reclamation
land	reclamation	has
reclamation	has	eased
has	eased	the
eased	the	situation
the	situation	to
situation	to	some
to	some	extent
some	extent	if
extent	if	a
if	a	trace
a	trace	of
trace	of	tropical
of	tropical	lethargy
tropical	lethargy	still
lethargy	still	adds
still	adds	to
adds	to	the
to	the	charm
the	charm	in
charm	in	this
in	this	city
this	city	of
city	of	sidewalk
of	sidewalk	caf
sidewalk	caf	s
caf	s	palm
s	palm	trees
palm	trees	and
trees	and	pedicabs
and	pedicabs	any
pedicabs	any	torpor
any	torpor	definitely
torpor	definitely	ends
definitely	ends	once
ends	once	inside
once	inside	the
inside	the	doors
the	doors	of
doors	of	macau
of	macau	s
macau	s	casinos
s	casinos	scene
casinos	scene	of
scene	of	some
of	some	of
some	of	the
of	the	liveliest
the	liveliest	gambling
liveliest	gambling	west
gambling	west	of
west	of	las
of	las	vegas
las	vegas	gambling
vegas	gambling	provides
gambling	provides	almost
provides	almost	40
almost	40	percent
40	percent	of
percent	of	the
of	the	government
the	government	s
government	s	tax
s	tax	revenues
tax	revenues	and
revenues	and	is
and	is	a
is	a	major
a	major	source
major	source	of
source	of	employment
of	employment	its
employment	its	spin
its	spin	off
spin	off	industries
off	industries	prostitution
industries	prostitution	and
prostitution	and	pawn
and	pawn	shops
pawn	shops	also
shops	also	thrive
also	thrive	arriving
thrive	arriving	the
arriving	the	easiest
the	easiest	way
easiest	way	to
way	to	get
to	get	to
get	to	macau
to	macau	is
macau	is	by
is	by	jetfoil
by	jetfoil	operated
jetfoil	operated	by
operated	by	turbojet
by	turbojet	tel
turbojet	tel	2859
tel	2859	3333
2859	3333	the
3333	the	40
the	40	mile
40	mile	trip
mile	trip	takes
trip	takes	about
takes	about	an
about	an	hour
an	hour	departures
hour	departures	are
departures	are	from
are	from	the
from	the	macau
the	macau	ferry
macau	ferry	terminal
ferry	terminal	just
terminal	just	west
just	west	of
west	of	central
of	central	in
central	in	the
in	the	shun
the	shun	tak
shun	tak	centre
tak	centre	200
centre	200	connaught
200	connaught	road
connaught	road	central
road	central	in
central	in	hong
in	hong	kong
hong	kong	jetfoils
kong	jetfoils	leave
jetfoils	leave	every
leave	every	15
every	15	to
15	to	30
to	30	minutes
30	minutes	24
minutes	24	hours
24	hours	a
hours	a	day
a	day	entry
day	entry	procedures
entry	procedures	are
procedures	are	similar
are	similar	to
similar	to	those
to	those	in
those	in	hong
in	hong	kong
hong	kong	most
kong	most	nationalities
most	nationalities	need
nationalities	need	only
need	only	a
only	a	passport
a	passport	to
passport	to	enter
to	enter	macau
enter	macau	macau
macau	macau	s
macau	s	own
s	own	currency
own	currency	the
currency	the	pataca
the	pataca	is
pataca	is	pegged
is	pegged	to
pegged	to	the
to	the	hong
the	hong	kong
hong	kong	dollar
kong	dollar	and
dollar	and	you
and	you	can
you	can	use
can	use	your
use	your	hong
your	hong	kong
hong	kong	currency
kong	currency	freely
currency	freely	in
freely	in	macau
in	macau	upon
macau	upon	arrival
upon	arrival	in
arrival	in	macau
in	macau	be
macau	be	sure
be	sure	to
sure	to	stop
to	stop	by
stop	by	the
by	the	macau
the	macau	government
macau	government	tourist
government	tourist	office
tourist	office	for
office	for	a
for	a	map
a	map	brochures
map	brochures	and
brochures	and	directions
and	directions	outside
directions	outside	the
outside	the	terminal
the	terminal	you
terminal	you	will
you	will	find
will	find	taxis
find	taxis	as
taxis	as	well
as	well	as
well	as	buses
as	buses	to
buses	to	all
to	all	points
all	points	take
points	take	3
take	3	3a
3	3a	10
3a	10	or
10	or	10a
or	10a	to
10a	to	the
to	the	historic
the	historic	center
historic	center	exact
center	exact	change
exact	change	is
change	is	required
is	required	you
required	you	ll
you	ll	also
ll	also	be
also	be	approached
be	approached	by
approached	by	pedicab
by	pedicab	drivers
pedicab	drivers	these
drivers	these	are
these	are	tricycles
are	tricycles	carrying
tricycles	carrying	two
carrying	two	passengers
two	passengers	pedicabs
passengers	pedicabs	were
pedicabs	were	once
were	once	the
once	the	most
the	most	common
most	common	form
common	form	of
form	of	transportation
of	transportation	in
transportation	in	macau
in	macau	but
macau	but	today
but	today	they
today	they	are
they	are	mainly
are	mainly	a
mainly	a	tourist
a	tourist	attraction
tourist	attraction	sights
attraction	sights	in
sights	in	macau
in	macau	directly
macau	directly	across
directly	across	the
across	the	street
the	street	from
street	from	the
from	the	wharf
the	wharf	where
wharf	where	passengers
where	passengers	arrive
passengers	arrive	from
arrive	from	hong
from	hong	kong
hong	kong	is
kong	is	the
is	the	first
the	first	surprise
first	surprise	to
surprise	to	greet
to	greet	visitors
greet	visitors	to
visitors	to	macau
to	macau	the
macau	the	vast
the	vast	jai
vast	jai	alai
jai	alai	palace
alai	palace	said
palace	said	to
said	to	be
to	be	the
be	the	world
the	world	s
world	s	most
s	most	luxurious
most	luxurious	front
luxurious	front	n
front	n	in
n	in	an
in	an	effort
an	effort	to
effort	to	provide
to	provide	yet
provide	yet	one
yet	one	more
one	more	thing
more	thing	to
thing	to	bet
to	bet	on
bet	on	players
on	players	are
players	are	imported
are	imported	from
imported	from	spain
from	spain	to
spain	to	take
to	take	part
take	part	in
part	in	this
in	this	lightning
this	lightning	fast
lightning	fast	basque
fast	basque	ball
basque	ball	game
ball	game	the
game	the	grandstand
the	grandstand	situated
grandstand	situated	on
situated	on	the
on	the	seaside
the	seaside	road
seaside	road	the
road	the	avenida
the	avenida	da
avenida	da	amizade
da	amizade	friendship
amizade	friendship	avenue
friendship	avenue	marks
avenue	marks	the
marks	the	finishing
the	finishing	line
finishing	line	for
line	for	the
for	the	macau
the	macau	grand
macau	grand	prix
grand	prix	the
prix	the	international
the	international	car
international	car	racing
car	racing	event
racing	event	held
event	held	here
held	here	every
here	every	november
every	november	also
november	also	in
also	in	front
in	front	of
front	of	the
of	the	ferry
the	ferry	terminal
ferry	terminal	is
terminal	is	a
is	a	new
a	new	cyber
new	cyber	fountain
cyber	fountain	with
fountain	with	86
with	86	water
86	water	spouts
water	spouts	that
spouts	that	shoot
that	shoot	up
shoot	up	to
up	to	70
to	70	m
70	m	230
m	230	ft
230	ft	and
ft	and	are
and	are	illuminated
are	illuminated	at
illuminated	at	night
at	night	by
night	by	288
by	288	spotlights
288	spotlights	producing
spotlights	producing	80
producing	80	colors
80	colors	continuing
colors	continuing	around
continuing	around	the
around	the	peninsula
the	peninsula	in
peninsula	in	a
in	a	clockwise
a	clockwise	direction
clockwise	direction	brings
direction	brings	you
brings	you	to
you	to	the
to	the	rua
the	rua	da
rua	da	praia
da	praia	grande
praia	grande	big
grande	big	beach
big	beach	street
beach	street	a
street	a	pleasant
a	pleasant	promenade
pleasant	promenade	with
promenade	with	shaded
with	shaded	benches
shaded	benches	under
benches	under	the
under	the	banyan
the	banyan	trees
banyan	trees	along
trees	along	this
along	this	elegant
this	elegant	avenue
elegant	avenue	is
avenue	is	government
is	government	house
government	house	a
house	a	modest
a	modest	pink
modest	pink	palace
pink	palace	the
palace	the	central
the	central	square
central	square	of
square	of	the
of	the	historic
the	historic	city
historic	city	center
city	center	is
center	is	largo
is	largo	do
largo	do	senado
do	senado	for
senado	for	an
for	an	authentic
an	authentic	feel
authentic	feel	of
feel	of	old
of	old	portugal
old	portugal	slip
portugal	slip	into
slip	into	the
into	the	cool
the	cool	entrance
cool	entrance	hall
entrance	hall	of
hall	of	theimpressive
of	theimpressive	leal
theimpressive	leal	senado
leal	senado	loyal
senado	loyal	senate
loyal	senate	building
senate	building	a
building	a	fine
a	fine	example
fine	example	of
example	of	colonial
of	colonial	architecture
colonial	architecture	on
architecture	on	the
on	the	inside
the	inside	walls
inside	walls	are
walls	are	flowered
are	flowered	blue
flowered	blue	tiles
blue	tiles	azulejos
tiles	azulejos	and
azulejos	and	coats
and	coats	of
coats	of	arms
of	arms	the
arms	the	inscription
the	inscription	over
inscription	over	the
over	the	archway
the	archway	reads
archway	reads	cidade
reads	cidade	do
cidade	do	nome
do	nome	de
nome	de	deus
de	deus	n
deus	n	o
n	o	ha
o	ha	outra
ha	outra	mais
outra	mais	leal
mais	leal	city
leal	city	of
city	of	the
of	the	name
the	name	of
name	of	god
of	god	none
god	none	is
none	is	more
is	more	loyal
more	loyal	a
loyal	a	bit
a	bit	of
bit	of	praise
of	praise	attributed
praise	attributed	to
attributed	to	portugal
to	portugal	s
portugal	s	king
s	king	john
king	john	iv
john	iv	in
iv	in	the
in	the	17th
the	17th	century
17th	century	for
century	for	all
for	all	its
all	its	historic
its	historic	grandeur
historic	grandeur	the
grandeur	the	loyal
the	loyal	senate
loyal	senate	now
senate	now	is
now	is	the
is	the	equivalent
the	equivalent	of
equivalent	of	a
of	a	city
a	city	council
city	council	its
council	its	statesmanship
its	statesmanship	dedicated
statesmanship	dedicated	to
dedicated	to	water
to	water	supplies
water	supplies	sewage
supplies	sewage	lines
sewage	lines	and
lines	and	the
and	the	establishment
the	establishment	of
establishment	of	playgrounds
of	playgrounds	macau
playgrounds	macau	s
macau	s	most
s	most	memorable
most	memorable	monument
memorable	monument	is
monument	is	the
is	the	baroque
the	baroque	fa
baroque	fa	ade
fa	ade	of
ade	of	the
of	the	ruins
the	ruins	of
ruins	of	s
of	s	o
s	o	paulo
o	paulo	the
paulo	the	only
the	only	remains
only	remains	of
remains	of	a
of	a	beautiful
a	beautiful	17th
beautiful	17th	century
17th	century	jesuit
century	jesuit	church
jesuit	church	on
church	on	top
on	top	of
top	of	a
of	a	hill
a	hill	in
hill	in	the
in	the	center
the	center	of
center	of	the
of	the	city
the	city	it
city	it	s
it	s	approached
s	approached	by
approached	by	a
by	a	grand
a	grand	staircase
grand	staircase	the
staircase	the	rest
the	rest	of
rest	of	the
of	the	building
the	building	and
building	and	an
and	an	adjoining
an	adjoining	college
adjoining	college	were
college	were	destroyed
were	destroyed	in
destroyed	in	a
in	a	typhoon
a	typhoon	fanned
typhoon	fanned	fire
fanned	fire	in
fire	in	1835
in	1835	the
1835	the	rich
the	rich	sculptural
rich	sculptural	effects
sculptural	effects	on
effects	on	the
on	the	fa
the	fa	ade
fa	ade	mix
ade	mix	eastern
mix	eastern	and
eastern	and	western
and	western	symbols
western	symbols	familiar
symbols	familiar	saints
familiar	saints	chinese
saints	chinese	dragons
chinese	dragons	and
dragons	and	a
and	a	portuguese
a	portuguese	caravel
portuguese	caravel	beneath
caravel	beneath	the
beneath	the	church
the	church	the
church	the	museum
the	museum	of
museum	of	sacred
of	sacred	art
sacred	art	houses
art	houses	a
houses	a	collection
a	collection	of
collection	of	sacramental
of	sacramental	objects
sacramental	objects	the
objects	the	ambitious
the	ambitious	museum
ambitious	museum	of
museum	of	macau
of	macau	open
macau	open	tuesday
open	tuesday	sunday
tuesday	sunday	10am
sunday	10am	6pm
10am	6pm	admission
6pm	admission	hk
admission	hk	15
hk	15	opened
15	opened	in
opened	in	1998
in	1998	in
1998	in	the
in	the	lower
the	lower	levels
lower	levels	of
levels	of	the
of	the	monte
the	monte	fortress
monte	fortress	entrance
fortress	entrance	is
entrance	is	by
is	by	escalator
by	escalator	near
escalator	near	st
near	st	paul
st	paul	s
paul	s	it
s	it	gives
it	gives	an
gives	an	overview
an	overview	of
overview	of	macau
of	macau	s
macau	s	history
s	history	and
history	and	its
and	its	daily
its	daily	life
daily	life	and
life	and	traditions
and	traditions	a
traditions	a	re
a	re	created
re	created	street
created	street	of
street	of	colonial
of	colonial	macau
colonial	macau	is
macau	is	lined
is	lined	with
lined	with	traditional
with	traditional	chinese
traditional	chinese	shops
chinese	shops	the
shops	the	fort
the	fort	built
fort	built	by
built	by	the
by	the	jesuits
the	jesuits	in
jesuits	in	the
in	the	17th
the	17th	century
17th	century	as
century	as	a
as	a	defense
a	defense	against
defense	against	the
against	the	dutch
the	dutch	was
dutch	was	largely
was	largely	destroyed
largely	destroyed	by
destroyed	by	the
by	the	same
the	same	fire
same	fire	that
fire	that	burned
that	burned	st
burned	st	paul
st	paul	s
paul	s	lu
s	lu	s
lu	s	vaz
s	vaz	de
vaz	de	cam
de	cam	es
cam	es	1524
es	1524	1580
1524	1580	the
1580	the	portuguese
the	portuguese	national
portuguese	national	poet
national	poet	whose
poet	whose	work
whose	work	immortalized
work	immortalized	that
immortalized	that	country
that	country	s
country	s	golden
s	golden	age
golden	age	of
age	of	discoveries
of	discoveries	may
discoveries	may	have
may	have	stayed
have	stayed	in
stayed	in	macau
in	macau	local
macau	local	legend
local	legend	claims
legend	claims	that
claims	that	he
that	he	wrote
he	wrote	part
wrote	part	of
part	of	his
of	his	great
his	great	saga
great	saga	os
saga	os	lus
os	lus	adas
lus	adas	in
adas	in	what
in	what	is
what	is	now
is	now	called
now	called	the
called	the	cam
the	cam	es
cam	es	grotto
es	grotto	situated
grotto	situated	in
situated	in	the
in	the	spacious
the	spacious	tropical
spacious	tropical	cam
tropical	cam	es
cam	es	garden
es	garden	next
garden	next	to
next	to	the
to	the	museum
the	museum	behind
museum	behind	a
behind	a	gate
a	gate	opened
gate	opened	to
opened	to	anyone
to	anyone	who
anyone	who	knocks
who	knocks	is
knocks	is	the
is	the	old
the	old	protestant
old	protestant	cemetery
protestant	cemetery	those
cemetery	those	whose
those	whose	fate
whose	fate	was
fate	was	to
was	to	die
to	die	on
die	on	some
on	some	far
some	far	foreign
far	foreign	field
foreign	field	could
field	could	not
could	not	have
not	have	wanted
have	wanted	a
wanted	a	more
a	more	peaceful
more	peaceful	lovely
peaceful	lovely	graveyard
lovely	graveyard	the
graveyard	the	small
the	small	whitewashed
small	whitewashed	chapelwas
whitewashed	chapelwas	the
chapelwas	the	first
the	first	protestant
